Charmander/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Binacle/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 100%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Barbaracle/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Helioptile/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Heliolisk/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 100%/Heavy: 21.5%/ALL OTHERS: 29.3%
Sylveon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Hawlucha/Repeat: 100%/Dusk: 100%/Ultra: 78.1%/Great: 58.6%/Net: 39.1%/Level: 78.1%(optimal conditions)/Fast: 156.3%/Heavy: 31.3%/ALL OTHERS: 39.1%
Goomy/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Sliggoo/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Goodra/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Phantump/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Trevenant/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Pumpkaboo/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Gourgeist/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Bergmite/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Avalugg/Repeat: 75.2%/Dusk: 64.5%/Ultra: 43%/Great: 32.2%/Net: 21.5%/Level: 43%(optimal conditions)/Fast: 21.5%/Heavy: 37.1%/ALL OTHERS: 21.5%
Noibat/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Noivern/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Grubbin/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Charjabug/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Vikavolt/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Cutiefly/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Ribombee/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Lycanroc/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Wishiwashi/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Mareanie/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Toxapex/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Mudbray/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 74.2%/ALL OTHERS: 74.2%
Mudsdale/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Dewpider/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Araquanid/Repeat: 100%/Dusk: 100%/Ultra: 78.1%/Great: 58.6%/Net: 100%/Level: 78.1%(optimal conditions)/Fast: 39.1%/Heavy: 31.3%/ALL OTHERS: 39.1%
Morelull/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Shiinotic/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Salandit/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Salazzle/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Stufful/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 82%/Net: 54.7%/Level: 100%(optimal conditions)/Fast: 54.7%/Heavy: 46.9%/ALL OTHERS: 54.7%
Bewear/Repeat: 95.7%/Dusk: 82%/Ultra: 54.7%/Great: 41%/Net: 27.3%/Level: 54.7%(optimal conditions)/Fast: 27.3%/Heavy: 27.3%/ALL OTHERS: 27.3%
Bounsweet/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 91.8%/Level: 100%(optimal conditions)/Fast: 91.8%/Heavy: 84%/ALL OTHERS: 91.8%
Steenee/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Tsareena/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Oranguru/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Passimian/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Wimpod/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 100%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Golisopod/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Pyukumuku/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Turtonator/Repeat: 95.7%/Dusk: 82%/Ultra: 54.7%/Great: 41%/Net: 27.3%/Level: 54.7%(optimal conditions)/Fast: 27.3%/Heavy: 35.2%/ALL OTHERS: 27.3%
Togedemaru/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 70.3%/Level: 100%(optimal conditions)/Fast: 70.3%/Heavy: 62.5%/ALL OTHERS: 70.3%
Mimikyu/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Drampa/Repeat: 95.7%/Dusk: 82%/Ultra: 54.7%/Great: 41%/Net: 27.3%/Level: 54.7%(optimal conditions)/Fast: 27.3%/Heavy: 27.3%/ALL OTHERS: 27.3%
Dhelmise/Repeat: 34.2%/Dusk: 29.3%/Ultra: 19.5%/Great: 14.6%/Net: 9.8%/Level: 19.5%(optimal conditions)/Fast: 9.8%/Heavy: 2%/ALL OTHERS: 9.8%
Jangmo-o/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Hakamo-o/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Kommo-o/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Skwovet/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Greedent/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Rookidee/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Corvisquire/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Corviknight/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Blipbug/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Dottler/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 100%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Orbeetle/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Nickit/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Thievul/Repeat: 100%/Dusk: 100%/Ultra: 99.2%/Great: 74.4%/Net: 49.6%/Level: 99.2%(optimal conditions)/Fast: 49.6%/Heavy: 41.8%/ALL OTHERS: 49.6%
Gossifleur/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Eldegoss/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Wooloo/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Dubwool/Repeat: 100%/Dusk: 100%/Ultra: 99.2%/Great: 74.4%/Net: 49.6%/Level: 99.2%(optimal conditions)/Fast: 49.6%/Heavy: 41.8%/ALL OTHERS: 49.6%
Chewtle/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Drednaw/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 29.3%/ALL OTHERS: 29.3%
Yamper/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Boltund/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Rolycoly/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Carkol/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Coalossal/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 29.3%/ALL OTHERS: 17.6%
Applin/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Flapple/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Appletun/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Silicobra/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Sandaconda/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Cramorant/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Arrokuda/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Barraskewda/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 93.8%/Heavy: 15.6%/ALL OTHERS: 23.4%
Toxel/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Toxtricity/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Sizzlipede/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Centiskorch/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 29.3%/ALL OTHERS: 29.3%
Clobbopus/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 70.3%/Level: 100%(optimal conditions)/Fast: 70.3%/Heavy: 62.5%/ALL OTHERS: 70.3%
Grapploct/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Sinistea/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Polteageist/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Hatenna/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 91.8%/Level: 100%(optimal conditions)/Fast: 91.8%/Heavy: 84%/ALL OTHERS: 91.8%
Hattrem/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Hatterene/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Impidimp/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Morgrem/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Grimmsnarl/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Obstagoon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Perrserker/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Cursola/Repeat: 41%/Dusk: 35.2%/Ultra: 23.4%/Great: 17.6%/Net: 11.7%/Level: 23.4%(optimal conditions)/Fast: 11.7%/Heavy: 3.9%/ALL OTHERS: 11.7%
Sirfetch'd/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Mr. Rime/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Runerigus/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Milcery/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 78.1%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Alcremie/Repeat: 100%/Dusk: 100%/Ultra: 78.1%/Great: 58.6%/Net: 39.1%/Level: 78.1%(optimal conditions)/Fast: 39.1%/Heavy: 31.3%/ALL OTHERS: 39.1%
Falinks/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Pincurchin/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Snom/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Frosmoth/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Stonjourner/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 39.1%/ALL OTHERS: 23.4%
Eiscue/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 93.8%/Heavy: 15.6%/ALL OTHERS: 23.4%
Indeedee/Repeat: 41%/Dusk: 35.2%/Ultra: 23.4%/Great: 17.6%/Net: 11.7%/Level: 23.4%(optimal conditions)/Fast: 11.7%/Heavy: 3.9%/ALL OTHERS: 11.7%
Morpeko/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 70.3%/Level: 100%(optimal conditions)/Fast: 70.3%/Heavy: 62.5%/ALL OTHERS: 70.3%
Cufant/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Copperajah/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 50.8%/ALL OTHERS: 35.2%
Duraludon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Dreepy/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Drakloak/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Dragapult/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
